,date,open,close,high,low,volume,code
902,2013-07-19,30.838,30.451,31.164,30.318,33725.0,601888
903,2013-07-22,30.074,30.981,31.225,30.074,50676.0,601888
904,2013-07-23,30.981,31.439,31.47,30.736,40554.0,601888
905,2013-07-24,31.358,31.837,32.081,31.164,45898.0,601888
906,2013-07-25,31.969,31.429,32.306,31.246,28408.0,601888
907,2013-07-26,31.429,31.093,31.745,30.655,21709.0,601888
908,2013-07-29,30.859,30.777,30.859,30.38,15378.0,601888
909,2013-07-30,30.808,30.726,31.185,30.532,24603.0,601888
910,2013-07-31,30.95,30.665,31.032,30.369,14504.0,601888
911,2013-08-01,30.777,31.45,32.102,30.675,28413.0,601888
912,2013-08-02,31.613,31.806,32.102,31.439,34989.0,601888
913,2013-08-05,32.611,32.611,32.988,32.397,64909.0,601888
914,2013-08-06,32.611,34.609,34.996,32.611,101266.0,601888
915,2013-08-07,34.629,34.313,34.853,34.242,71945.0,601888
916,2013-08-08,34.252,34.171,34.599,33.977,41894.0,601888
917,2013-08-09,34.242,35.098,35.964,34.242,73078.0,601888
918,2013-08-12,35.271,35.475,36.025,34.935,39244.0,601888
919,2013-08-13,35.465,34.68,35.546,34.609,37642.0,601888
920,2013-08-14,34.639,34.65,35.261,34.171,48447.0,601888
921,2013-08-15,34.629,34.171,34.629,34.14,35180.0,601888
922,2013-08-16,33.997,33.427,37.585,33.213,48725.0,601888
923,2013-08-19,33.202,34.334,34.364,33.202,21957.0,601888
924,2013-08-20,34.395,34.436,35.057,34.14,48457.0,601888
925,2013-08-21,34.446,34.823,34.935,34.273,26548.0,601888
926,2013-08-22,34.853,34.507,35.159,34.171,29921.0,601888
927,2013-08-23,34.507,34.252,34.935,34.008,32561.0,601888
928,2013-08-26,34.262,35.292,35.567,34.038,43796.0,601888
929,2013-08-27,35.618,35.078,35.628,34.69,25764.0,601888
930,2013-08-28,34.65,35.292,35.974,34.446,43814.0,601888
931,2013-08-29,36.178,36.382,37.004,35.689,70139.0,601888
932,2013-08-30,36.199,38.033,39.409,36.056,94645.0,601888
933,2013-09-02,38.369,37.86,38.94,37.299,53234.0,601888
934,2013-09-03,38.115,38.655,39.725,38.115,94529.0,601888
935,2013-09-04,38.206,37.87,38.675,37.85,52380.0,601888
936,2013-09-05,37.911,38.206,38.247,37.177,44084.0,601888
937,2013-09-06,38.257,38.767,39.052,37.554,48155.0,601888
938,2013-09-09,38.604,38.767,39.113,38.278,55448.0,601888
939,2013-09-10,38.767,38.196,39.46,38.033,58870.0,601888
940,2013-09-11,38.237,36.983,38.634,36.464,64891.0,601888
941,2013-09-12,36.81,37.248,37.646,36.637,37716.0,601888
942,2013-09-13,37.35,37.503,37.809,37.045,24452.0,601888
943,2013-09-16,37.452,38.359,38.614,37.411,43245.0,601888
944,2013-09-17,38.288,38.655,39.236,38.288,45215.0,601888
945,2013-09-18,38.726,42.517,42.517,38.726,128116.0,601888
946,2013-09-23,42.497,42.191,42.497,41.396,63630.0,601888
